root_id,name
720575940624879678,PEN_L2
720575940643558692,PEN_L2
720575940628866809,PEN_L3
720575940624453680,PEN_L3
720575940622913260,PEN_L4
720575940626194428,PEN_L4
720575940638055869,PEN_L4
720575940631372369,PEN_L4
720575940605639858,PEN_L5
720575940638832512,PEN_L5
720575940621074835,PEN_L6
720575940625407107,PEN_L6
720575940615177099,PEN_L6
720575940625021796,PEN_L6
720575940617828731,PEN_L7
720575940626469909,PEN_L7
720575940622772137,PEN_L8
720575940636242778,PEN_L8
720575940642855328,PEN_L9
720575940608918830,PEN_L9
720575940622265894,PEN_L9
720575940626306321,PEN_R2
720575940638847104,PEN_R2
720575940612763158,PEN_R3
720575940628557178,PEN_R3
720575940610502851,PEN_R4
720575940616459333,PEN_R4
720575940625415813,PEN_R4
720575940637644659,PEN_R4
720575940624594726,PEN_R5
720575940658472065,PEN_R5
720575940612920466,PEN_R6
720575940619476126,PEN_R6
720575940630666404,PEN_R6
720575940632736703,PEN_R6
720575940610249426,PEN_R7
720575940626407820,PEN_R7
720575940603823462,PEN_R8
720575940627653114,PEN_R8
720575940606123954,PEN_R9
720575940623388237,PEN_R9
720575940633538724,PEN_R9
720575940629691753,EPG_L1
720575940635461550,EPG_L1
720575940617769851,EPG_L2
720575940642634532,EPG_L2
720575940610453427,EPG_L3
720575940625351354,EPG_L3
720575940638850512,EPG_L3
720575940605827761,EPG_L4
720575940623046548,EPG_L4
720575940624784280,EPG_L4
720575940619296365,EPG_L5
720575940626137895,EPG_L5
720575940632614295,EPG_L5
720575940610901930,EPG_L6
720575940618612952,EPG_L6
720575940658101889,EPG_L6
720575940614926475,EPG_L7
720575940620282906,EPG_L7
720575940626315207,EPG_L7
720575940628802041,EPG_L7
720575940623852873,EPG_L8
720575940624096234,EPG_L8
720575940633719487,EPG_L8
720575940635427982,EPG_L8
720575940602917088,EPG_L9
720575940619905404,EPG_L9
720575940628843458,EPG_R1
720575940631125036,EPG_R1
720575940608722371,EPG_R2
720575940613829900,EPG_R2
720575940613836438,EPG_R3
720575940631708836,EPG_R3
720575940614297640,EPG_R4
720575940619006272,EPG_R4
720575940626449082,EPG_R4
720575940604801993,EPG_R5
720575940627140551,EPG_R5
720575940632844002,EPG_R5
720575940611216099,EPG_R6
720575940620664741,EPG_R6
720575940622364771,EPG_R6
720575940620020694,EPG_R7
720575940628493572,EPG_R7
720575940636730694,EPG_R7
720575940616502066,EPG_R8
720575940616569601,EPG_R8
720575940626721835,EPG_R8
720575940660921985,EPG_R8
720575940620419354,EPG_R9
720575940620776662,EPG_R9
720575940630199963,EPG_R3_or_4
720575940627321755,PEG_L1
720575940604404425,PEG_L2
720575940622138564,PEG_L3
720575940627913436,PEG_L4
720575940625528638,PEG_L5
720575940637330142,PEG_L6
720575940622081516,PEG_L7
720575940636354650,PEG_L8
720575940638469584,PEG_L9
