odor,aldehyde,carboxyl,alcohol,terpene/terpe0id,ester,ketone,phenyl,amine,min_acid,alkene,alkane,aromatic
OilBl,0,0,0,0,0,0,0,0,0,0,0,0
WatBl,0,0,0,0,0,0,0,0,0,0,0,0
1HxOl,0,0,1,0,0,0,0,0,0,0,1,0
bCitr,0,0,1,1,0,0,0,0,0,1,0,0
Lnlol,0,0,1,1,0,0,0,0,0,1,0,0
Frnsl,0,0,1,1,0,0,0,0,0,1,0,0
Et3HB,0,0,1,0,1,0,0,0,0,0,1,0
Geosn,0,0,1,0,0,0,0,0,0,0,1,0
E2Hex,1,0,0,0,0,0,0,0,0,1,0,0
Nonnl,1,0,0,0,0,0,0,0,0,0,1,0
Acoin,0,0,1,0,0,1,0,0,0,0,1,0
23BTD,0,0,0,0,0,1,0,0,0,0,1,0
AceAc,0,0,0,0,1,1,0,0,0,0,1,0
Prpyl,0,0,0,0,1,0,0,0,0,0,1,0
EtHex,0,0,0,0,1,0,0,0,0,0,1,0
IPenA,0,0,0,0,1,0,0,0,0,0,1,0
HexAc,0,0,0,0,1,0,0,0,0,0,1,0
MtAct,0,0,0,0,1,0,0,0,0,0,1,0
GerAc,0,0,0,1,1,0,0,0,0,1,0,0
CiVAc,0,0,0,0,1,0,0,0,0,1,0,0
AcAcd,0,1,0,0,0,0,0,0,0,0,1,0
PrpnA,0,1,0,0,0,0,0,0,0,0,1,0
BtrAc,0,1,0,0,0,0,0,0,0,0,1,0
HCL36,0,0,0,0,0,0,0,0,1,0,0,0
Amnia,0,0,0,0,0,0,0,1,0,0,0,0
Cdvrn,0,0,0,0,0,0,0,1,0,0,1,0
Sprmn,0,0,0,0,0,0,0,1,0,0,1,0
EtAmn,0,0,0,0,0,0,0,1,0,0,1,0
Sprdn,0,0,0,0,0,0,0,1,0,0,1,0
Ptscn,0,0,0,0,0,0,0,1,0,0,1,0
Pyrdn,0,0,0,0,0,0,0,1,0,0,0,1
PEtAm,0,0,0,0,0,0,1,1,0,0,0,1
PAcHd,1,0,0,0,0,0,1,0,0,0,0,1
MetSl,0,0,1,0,1,0,1,0,0,0,0,1
PeEtA,0,0,1,0,0,0,1,0,0,0,0,1
2PnAc,0,0,0,0,1,0,1,0,0,0,0,1
PAcAc,0,1,0,0,0,0,1,0,0,0,0,1
BeZal,1,0,0,0,0,0,1,0,0,0,0,1
VinGe,0,0,0,0,0,0,0,0,0,0,0,0
Vingr,0,0,0,0,0,0,0,0,0,0,0,0
5OdMx,0,0,0,0,0,0,0,0,0,0,0,0
