Odorant,CAS
ammonium hydroxide,1336-21-6 
putrescine,110-60-1
cadaverine,462-94-2
g-butyrolactone,96-48-0
g-hexalactone,695-06-7
g-octalactone,104-50-7
g-decalactone,706-14-9
d-decalactone,705-86-2
methanoic acid,64-18-6
acetic acid,64-19-7
propionic acid,79-09-4
butyric acid,107-92-6
pentanoic acid,109-52-4
hexanoic acid,142-62-1
heptanoic acid,111-14-8
octanoic acid,124-07-2 
nonanoic acid,112-05-0
linoleic acid,60-33-3 
isobutyric acid,79-31-2
isopentanoic acid,503-74-2
pyruvic acid,127-17-3
2-ethylhexanoic acid,149-57-5
lactic acid,50-21-5
3-methylthio-1-propanol,505-10-2
dimethyl sulfide,75-18-3
terpinolene,586-62-9
a-pinene,80-56-8 
b-pinene,127-91-3
3-carene,13466-78-9
limonene,138-86-3
a-humulene,6753-98-6
b-myrcene,123-35-3 
trans-caryophyllene,87-44-5 
p-cymene,99-87-6
geranyl acetate,105-87-3
a-terpineol,98-55-5
geraniol,106-24-1 
nerol,106-25-2 
linalool,78-70-6 
b-citronellol,106-22-9  
linalool oxide,1365-19-1
acetaldehyde,75-07-0 
propanal,123-38-6
butanal,123-72-8
pentanal,110-62-3
hexanal,66-25-1 
E2-hexenal,6728-26-3
furfural,98-01-1
2-propenal,107-02-8
acetone,67-64-1
2-butanone,78-93-3
2-pentanone,107-87-9
2-heptanone,110-43-0 
6-methyl-5-hepten-2-one,110-93-0
"2,3-butanedione",431-03-8
phenethyl alcohol,60-12-8 
benzyl alcohol,100-51-6 
methyl salicylate,119-36-8 
methyl benzoate,93-58-3 
ethyl benzoate,93-89-0
phenethyl acetate,103-45-7
benzaldehyde,100-52-7 
phenylacetaldehyde,122-78-1 
acetophenone,98-86-2 
ethyl cinnamate,103-36-6 
2-methylphenol,95-48-7
4-ethyl guaiacol,2785-89-9 
eugenol,97-53-0
methanol,67-56-1 
ethanol,64-17-5
1-propanol,71-23-8
1-butanol,71-36-3 
1-pentanol,71-41-0
1-hexanol,111-27-3 
1-octanol,111-87-5 
2-pentanol,6032-29-7
3-methylbutanol,123-51-3
3-methyl-2-buten-1-ol,556-82-1
1-penten-3-ol,616-25-1
1-octen-3-ol,3391-86-4 
E2-hexenol,928-95-0 
Z2-hexenol,928-94-9
E3-hexenol,928-97-2
Z3-hexenol,928-96-1
glycerol,56-81-5
"2,3-butanediol",513-85-9
methyl acetate,79-20-9 
ethyl acetate,141-78-6 
propyl acetate,109-60-4 
butyl acetate,123-86-4
pentyl acetate,628-63-7
hexyl acetate,142-92-7 
isobutyl acetate,110-19-0 
isopentyl acetate,123-92-2
E2-hexenyl acetate,2497-18-9
methyl butyrate,623-42-7
ethyl butyrate,105-54-4
hexyl butyrate,2639-63-6 
ethyl 3-hydroxybutyrate,5405-41-4 
ethyl propionate,105-37-3
ethyl methanoate,109-94-4
methyl hexanoate,106-70-7
ethyl hexanoate,123-66-0
hexyl hexanoate,6378-65-0
methyl octanoate,111-11-5
ethyl octanoate,106-32-1
ethyl decanoate,110-38-3
ethyl trans-2-butenoate,623-70-1   
ethyl lactate,97-64-3 
diethyl succinate,123-25-1
acetoin,513-86-0
acetoin acetate,4906-24-5
nonanal,124-19-6
"2,3 butanediol acetate",56266-48-2
Geosmin,16423-19-1
Vineger apple cider/balsamic,
HCL,
Amonia,
octyl aldehyde,124-13-0
Carvone,6485-40-1
p-Cresol,106-44-5
cyclohexanone,108-94-1
"1,4 Cynelole",470-67-7
Phenylacetic acid,103-82-2
Luvulinic acid,123-76-2
CVA,6186-98-7
Pyridine,
